Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,1.767024,1.168514,-0.508529,-0.626366,0.128233,2.139199,-0.560117,-1.272081
1002,0.034072,-0.083217,0.852671,-2.363845,-0.062285,-0.224377,2.153158,-0.543248
1003,-2.051961,0.342150,-2.832707,-1.145239,0.041654,-0.764161,-1.384680,1.732958
1004,0.178148,-2.021363,-2.776024,-0.969257,-2.237549,0.527020,-0.096372,-0.018717
1005,-1.152761,-2.800095,1.570171,-1.186683,-0.968739,-2.746764,2.055792,0.616712
1006,-1.223459,-0.214416,0.206303,1.110572,0.603808,-0.292377,2.420275,-1.967648
1007,-0.347708,-0.014120,1.487043,0.143010,0.212993,-0.923306,1.199106,0.580262
1008,-1.647265,-0.262024,1.326798,0.535518,1.627336,0.960407,1.593264,0.574293
1009,-2.426813,-1.955953,-0.130151,-0.454102,-0.786493,-2.606616,-0.879436,-1.246075
1011,0.177789,0.060270,-0.872289,1.829982,2.145382,1.642474,0.161031,-1.595580
1012,-1.773698,0.098233,1.084781,-0.299400,0.842378,0.848085,1.790262,0.552010
1014,0.128468,1.399997,-0.384603,-1.693606,-0.623272,1.056142,-2.082075,-1.526703
1015,-2.154943,-0.581075,-1.871959,-2.116988,-0.387681,0.088310,-1.650474,0.995518
1019,-1.638122,-0.464640,0.138289,-1.663943,-1.293007,-1.397469,-0.830520,1.152730
1022,-0.742438,1.882530,0.401276,2.210557,3.211636,-0.080016,1.342211,2.374080
1023,-1.674733,-0.512441,-0.916108,0.011572,0.795018,-1.345228,-2.286422,-3.568309
1029,-1.811069,0.096157,-2.445526,-0.915343,-1.237042,1.370443,-1.540409,-0.212506
1031,-0.745774,-1.222614,-0.044759,1.331054,-0.685788,-0.366126,-1.180834,0.290776
1032,-1.653306,-1.967539,-0.523377,0.381819,-1.409536,-2.332700,-0.886452,-1.244051
1034,-1.690046,1.508378,-2.313407,1.132165,1.963950,-1.286653,1.567067,0.900566
1036,-0.307716,1.808749,0.846170,1.860133,1.930538,1.966271,1.927119,-0.010184
1037,1.868615,-1.270203,3.919423,0.795386,-2.911929,-1.097294,1.539885,0.909684
1038,-0.098305,-0.364683,2.068498,1.006646,2.449768,-1.251054,2.258434,0.448705
1040,2.362467,2.803007,1.375063,-0.505678,1.335449,3.698663,0.662114,-0.787197
1041,0.016294,1.029211,0.385244,-0.006384,1.430707,2.291201,0.791481,-0.869787
1042,1.102160,0.360017,-3.517025,-1.968045,1.529831,-1.228796,2.302177,1.328137
1043,-0.205635,1.016394,0.281907,-1.211633,3.189543,-1.360330,2.517497,1.328570
1044,-2.080772,1.194452,-0.564859,3.315027,0.771791,0.939428,-0.747414,1.234386
1045,0.369010,-2.618268,0.421247,-1.550228,-1.083480,-1.484211,-0.595868,1.710515
1047,-1.429411,-1.839369,2.371946,0.527576,-0.519607,0.053011,0.128716,0.065557
1048,0.723785,2.017312,-0.298777,0.958133,-1.218742,0.109292,1.371593,0.782537
