Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,-1.551393,1.615986,0.327754,0.511444,-0.683141,1.977861,0.643791,-0.376573
1002,-0.597796,-2.448387,-0.958478,1.142555,-0.541742,-0.935406,0.248147,-0.784478
1003,-1.759826,0.236277,-1.996156,-0.875736,-2.101276,-0.578069,-2.230074,1.051996
1004,-0.704434,1.662268,-0.552435,-0.143833,-0.797734,0.491530,2.924443,1.830709
1005,-0.499203,-0.664584,1.393974,-0.372210,0.823563,-0.560411,2.710602,-0.530385
1006,-1.628940,-0.292678,0.762259,2.421749,0.124222,0.214221,2.232903,-0.506031
1007,0.282481,-0.335790,-1.443362,-0.168999,0.394994,0.131923,0.552635,1.154041
1008,-0.346674,-0.716683,-0.191410,-0.607370,1.203009,-0.132744,1.406457,-0.168414
1009,-0.218323,-0.105854,0.274689,-0.117057,-1.568327,-2.770672,-1.454064,-0.628963
1011,0.486751,-1.975362,-0.643574,0.365796,1.199892,1.152100,1.291080,-0.065477
1012,-1.157996,-0.164092,-0.318394,-0.765255,0.338561,0.423491,-0.475921,-0.114954
1014,-0.921069,-0.645112,1.224091,0.571736,0.011917,1.207292,-0.366732,0.160952
1015,-1.087769,-0.888544,-1.116062,-1.918595,0.306220,-0.199046,-0.028831,0.529637
1019,-0.711587,-0.558704,0.079954,-0.420299,-0.748504,-1.186306,-0.958404,0.909130
1022,-1.847425,0.505293,1.496193,0.206065,-1.012501,-0.512848,-0.941636,0.583702
1023,-1.622037,-1.181063,0.235620,0.095733,0.112295,-1.900710,0.077233,-1.738940
1029,-2.106500,-0.994950,-1.140779,0.986131,-1.883566,0.278959,-0.603367,0.234368
1031,-0.718984,0.073492,-0.647779,0.438262,-0.351985,-0.631655,0.203358,1.446514
1032,0.754731,0.447004,-0.006934,0.237703,1.036841,1.383868,1.932449,-1.398378
1034,-2.201377,0.836692,-0.745377,0.202810,0.873458,-1.332384,0.060644,0.487232
1036,-1.763586,-0.488968,-0.260029,0.498818,0.173701,-0.965639,-1.192149,-0.492654
1037,-1.184327,-1.067589,1.077265,-0.297487,-3.542706,-1.038244,1.057606,0.570809
1038,0.206193,1.662779,0.100952,0.436355,0.212994,1.570007,1.106018,1.355793
1040,0.921805,2.030004,0.364501,-0.389405,1.032828,3.253662,-0.190095,-0.457290
1041,-0.083600,-2.201085,0.155721,0.127165,0.478641,0.182212,-1.335337,1.204233
1042,0.661026,0.965609,-1.112094,0.405520,1.139905,0.212321,-0.320968,-0.537540
1043,-1.365415,0.543817,-0.180317,1.078148,-1.540338,-1.522052,-0.186441,1.702170
1044,0.423503,-2.291843,1.153190,0.581943,-0.942441,-0.974418,3.004550,-1.149559
1045,0.903944,-0.061769,-0.395928,-1.695853,-1.051682,2.736301,-0.245976,0.012487
1047,-1.119690,-1.027020,1.224464,1.213582,1.958662,0.075370,0.172479,-0.163725
1048,0.245000,-1.109790,-1.268484,1.467486,-1.181003,-1.811165,1.275118,2.697076
1049,-3.180694,-0.702946,0.444012,1.188554,0.855800,0.479985,0.671620,-0.271802
1050,-0.374803,1.236066,1.372553,-0.118963,-0.314601,1.825464,0.349023,0.339840
1051,0.692613,-0.361150,0.296895,-0.103059,-0.254966,1.424631,-0.606691,0.342452
1053,-2.910709,-0.217082,1.555893,1.084526,-0.214612,-0.969192,-0.862946,1.626834
1056,-0.473671,1.354477,0.446204,2.643815,-0.285865,-0.768388,1.249632,0.976747
1060,-0.403451,-1.142359,0.676971,0.902327,0.041425,-0.151326,0.514516,0.501685
1061,1.219513,1.187176,-1.409256,1.208420,0.009339,-0.061139,0.341084,0.031489
1063,-1.478845,-0.921426,1.142845,0.075148,3.104704,-0.532078,0.038282,0.206867
1071,0.524097,0.627548,1.222199,1.550952,2.074389,-0.261107,0.349077,1.793668
1072,-2.075725,-0.382421,-0.348839,-0.884005,1.186313,0.679400,0.382724,-1.558784
1077,0.477712,0.431226,-0.684760,-0.780742,-0.062305,0.524255,-0.445122,-0.443073
1078,0.523348,1.290832,1.886962,0.744709,1.365814,1.492295,0.586923,-0.205659
1080,-1.188380,-0.449761,0.125472,1.356998,1.483884,-0.040768,1.863787,-0.335514
1081,-0.205650,0.405923,0.388523,2.021900,0.100749,-0.025494,1.974007,0.755785
1089,-0.493556,2.336140,1.544935,1.905866,0.236472,-0.244480,0.601769,1.470453
1090,-2.193823,-0.740449,-1.276170,-2.166166,-0.092190,-0.210751,0.182538,0.283438
1091,-0.678454,-1.892453,1.113843,1.105440,1.043950,0.778471,0.294720,-0.058603
1098,-1.889055,3.131357,-0.332515,0.910745,0.478391,0.884259,0.067849,-1.473461
1101,-2.689017,0.064766,0.184653,0.315765,-0.682090,0.981362,-0.513491,-0.251354
1102,-0.974469,0.871507,-1.212878,-1.003841,-0.483067,0.528805,-0.966069,-0.581717
1105,-1.275909,-0.946199,-1.428782,-0.293419,-0.433920,-1.170531,-2.955032,1.264845
1106,-1.629577,0.206105,-0.489037,-0.133502,0.870352,0.165857,-0.015378,-0.831829
1107,-0.130541,1.303703,-0.138308,-1.330413,1.378509,0.763589,0.260675,0.188666
1113,0.571857,-0.815218,0.679647,0.333233,1.845088,0.779678,-0.134273,0.753774
1114,0.102405,1.378988,-1.417139,1.454777,0.588263,1.045289,-1.468580,1.625028
1115,0.887747,-0.991247,1.875399,0.570412,-0.013552,1.149017,0.378274,-2.015440
1116,-1.020559,-0.929644,-1.942017,-0.502004,-0.603097,0.238750,-1.392154,-0.310768
1117,-2.589983,-1.856291,-1.582369,1.547103,-1.208579,-0.145329,-2.113483,-1.416823
1118,-1.696969,-1.375324,-1.548225,0.693458,-0.363924,0.286946,-1.484307,-0.076438
1119,-2.749131,-1.221045,-1.154826,1.221443,-1.338605,-0.977118,-1.559962,0.523035
1120,0.296230,-0.342314,-0.490514,0.767111,-0.969950,-0.446339,-0.283651,-0.615782
1124,0.078439,-0.833852,0.877193,0.891505,1.815161,-1.939762,-0.027948,-0.685868
1125,-0.172116,-1.162041,0.061904,-0.191453,-1.087666,-1.147870,-0.327702,-1.697007
1126,0.896649,-0.553321,-1.843271,1.714375,0.293259,0.867780,-2.030137,-1.109773
1127,-0.250147,-0.730631,-0.199328,-1.358950,-1.618293,-1.197313,-2.595781,0.190368
1128,-1.073192,1.088659,0.015234,0.048838,1.312869,0.191146,-0.841854,0.896172
1132,-0.609395,-0.074214,0.752841,-0.543825,-0.500199,-0.051462,-0.445727,1.202900
1133,-0.101464,0.477768,-1.016368,-0.140244,0.577389,0.897557,-2.075846,0.316016
1134,-0.587649,0.897557,0.124721,0.372082,0.316848,0.668742,-0.100126,-2.086783
1135,-0.817886,-0.878477,1.974395,-0.251712,-0.030364,0.291079,-1.187437,-0.183115
1136,-0.687294,1.043860,-0.276140,0.996723,-0.258947,0.981093,-0.621741,0.714066
1137,1.027570,-1.584275,1.383451,-0.064965,0.501539,2.512655,1.408773,-0.117967
1138,1.373356,0.782907,1.120728,-2.435690,0.341347,-0.669333,1.232434,0.810956
1139,-1.050016,1.654870,0.445980,-1.645273,-0.584930,0.943483,1.950910,1.088480
1142,0.353175,-0.327341,3.291305,1.529475,1.072548,0.830616,1.956282,-2.019521
1143,1.147455,0.609678,-0.066079,0.735970,-1.297441,0.515430,-1.821106,0.889561
1145,-0.552440,-0.241446,0.447205,-1.394249,-0.629924,0.675834,0.224536,-1.354304
1146,-0.193527,-1.740874,-0.776352,0.063015,0.761728,-1.318287,-0.269380,0.203197
1147,-0.192007,-0.768914,1.225212,0.428680,0.631980,0.389640,0.451874,-0.334723
1148,-1.692526,0.097411,-0.709045,-1.130818,1.046370,-0.889709,-0.769392,-0.163916
1150,0.870294,-1.459690,-0.264250,0.290391,-0.377734,0.312324,-1.042464,0.528105
1151,-3.547513,0.428642,-1.626252,-1.115188,-0.535606,-0.510047,-0.210483,1.733788
1152,-1.047409,0.626293,0.390623,-0.526271,1.170151,0.772254,-0.200823,1.491842
1153,-0.048457,0.678178,0.206299,-0.947690,2.119645,0.723631,1.441860,-1.018116
1154,-1.075623,0.394873,-1.565654,-0.793083,0.538758,0.991592,-2.110331,0.411899
1157,-0.140352,-0.125848,2.381660,1.020258,-0.220851,1.263082,-0.487576,0.768450
1158,-1.013162,-2.765878,-0.235158,-1.408779,1.170816,1.627956,0.886773,1.392943
1159,-0.602294,-0.083317,-1.330589,-0.752860,0.913228,-2.459782,-1.177714,-1.183120
1160,0.483020,3.126546,0.574203,0.318256,1.559788,1.778870,-0.103805,0.970122
1161,-1.237791,1.271050,1.557282,2.088854,0.096872,1.699066,-0.270343,1.527376
1162,0.196464,2.899506,1.425018,1.318950,1.633095,1.565095,1.058998,0.904775
1163,-0.434396,0.099526,-1.433689,-0.136422,1.442733,-1.286767,-1.222001,0.873974
1166,-1.275984,0.000812,-1.719588,0.117580,0.524958,-0.023889,-0.338154,-0.893338
1167,-1.251095,0.840813,0.193532,-0.017245,-1.054495,0.870605,0.164747,-0.925507
1168,0.614075,1.100132,-2.432659,0.091016,-0.284722,-1.184142,-2.088610,-0.459061
1171,-0.896877,-0.526766,0.367956,1.817550,-0.371078,0.734285,1.835869,-1.758423
1173,-1.133966,-1.839133,1.019858,0.044719,-1.004363,-0.399249,0.130282,0.738930
1175,0.983678,1.404909,0.534425,1.186273,1.036769,1.001464,-1.266647,0.169848
1176,0.864447,1.450741,0.119270,0.675775,0.037427,-0.024375,-0.452577,0.862388
1177,0.880971,-0.002333,-0.616929,-0.790438,0.418350,1.094672,-0.151562,0.691140
1178,-1.459776,0.626440,1.613315,-1.379864,-1.202272,-0.950170,0.178092,-1.278726
1180,-0.388951,1.212115,0.038278,2.112202,-1.657177,0.726147,2.661295,1.968688
1181,-0.957582,0.237659,0.208477,-0.060023,-0.113679,1.434789,2.504158,-0.756299
1182,-0.796963,-0.367891,-0.467438,-0.382454,-0.601603,-0.982702,-1.290708,0.581607
1183,0.052263,0.573487,0.383130,-1.106845,-1.627155,-1.942869,0.595725,-1.491840
1185,-1.431159,-0.627117,-0.587061,0.994084,-0.246962,0.145574,-1.688001,0.531586
1191,-0.622778,0.683987,-1.413480,1.006335,-1.350784,-0.435196,-3.007891,-1.869013
1192,-1.362783,-1.906183,0.367432,-0.801476,-0.540458,-0.532847,-0.782875,-1.542418
1195,0.375727,1.445649,0.817825,0.261623,-0.373820,-0.982524,-0.141013,-1.112349
1196,-0.430706,0.624961,-0.148041,-2.319316,-2.013024,1.265221,1.419224,-1.542142
1197,-0.782158,1.105722,0.305821,-2.066992,0.460925,0.336211,0.048554,-1.271952
1198,0.654844,-0.061661,0.271242,1.109619,0.677838,0.802103,0.151411,-0.394175
1199,0.933782,-0.140546,-0.441010,-0.931724,-1.129305,-1.972604,-0.434494,0.034339
1200,-0.031810,0.298801,0.509378,0.335350,-0.633602,-2.187916,-1.814360,0.825106
1201,-1.653171,-0.532474,-0.859899,-0.713955,-1.085051,0.119105,-0.241910,-0.913061
1202,0.010969,0.381761,-0.124306,0.684155,0.394478,0.359140,1.701343,-0.630487
1203,0.485768,-0.091680,-1.577501,0.137445,-1.227969,1.264815,-0.395246,0.080442
1204,-1.495830,0.626187,-0.595245,0.770604,-2.319503,-0.651473,0.406854,-0.885321
1205,-0.053432,-1.159216,-0.743162,1.103915,1.409916,1.258376,-0.674915,0.709106
1207,0.776680,0.682079,2.296276,1.097731,0.416370,-0.828127,0.335276,-0.015990
1208,-0.487866,0.502380,0.977873,-1.456678,0.867186,0.197599,-1.233716,-0.860728
1212,-0.696158,-0.815606,2.822794,-0.250262,-0.153799,-1.668951,-1.319627,0.421611
1215,0.642226,0.436835,0.306235,0.944480,-0.108188,-0.639998,1.287612,0.667989
1216,-0.833856,0.980693,0.024575,-0.577709,-1.523101,-0.526446,-0.260254,0.041907
1218,-0.069979,0.638142,0.521274,2.348142,0.413918,2.050401,0.061887,1.153864
1222,-1.439600,1.237029,1.640793,0.037377,1.223548,-1.617282,-0.411169,0.268640
1223,-1.184315,-2.433888,-1.544347,-1.487273,-1.626686,-1.548010,-0.777158,-0.679650
1226,-2.197114,-1.545912,-1.092867,-0.376065,0.253891,0.303978,-0.242419,-0.297218
1228,-1.184079,-0.326081,0.117386,-1.893570,-0.440923,-0.282833,-0.305449,0.068143
1232,-1.759334,-0.705081,1.141140,0.483875,0.254524,-1.211068,0.395286,0.370448
1233,-1.240514,2.056877,-0.253425,-2.097189,0.241850,0.925048,-1.493557,-1.298002
1237,-0.818653,-0.437388,0.073634,1.791980,1.329488,0.370688,0.235993,0.851801
1239,-0.189752,0.293690,-0.383292,-1.398627,-0.821725,-0.206827,-0.334127,-0.130295
1240,-1.511376,1.417978,-0.057472,-1.049953,1.263661,0.858861,1.712685,1.152810
1244,0.128781,-0.536911,-0.766736,1.392659,0.731249,-1.198417,0.791032,0.619113
1245,-1.583391,0.025261,-1.751768,-0.528435,-0.089468,1.309178,-0.725142,-0.427428
1246,-0.044474,-0.052911,0.674854,0.280633,-0.017702,-0.355979,-0.141525,-0.332471
1247,-0.684769,1.104487,0.947122,-0.821243,0.213860,0.795727,1.143515,-1.532534
1248,-1.532430,-1.185989,1.123294,1.164728,0.890971,-1.617044,0.521438,-0.722850
1249,-1.903697,0.488814,0.266947,0.229181,0.761188,0.008790,0.739549,0.758152
1250,-0.488991,-1.922403,0.249230,3.197607,2.488767,-1.498144,1.817482,2.494079
1252,-0.184435,-0.749075,-1.995153,-0.946130,1.001373,1.078698,0.344848,-0.953135
1253,0.399018,0.422064,-0.412134,0.847580,0.045944,1.504236,0.237274,-0.489573
1254,0.321646,-0.682887,0.074566,-1.763744,0.446640,-0.441569,0.548589,1.867738
1256,-0.632154,-0.634882,-0.054660,-1.159865,-0.459050,-0.397148,0.251867,-0.302518
1262,-1.222781,0.154619,-1.142013,-1.116253,0.645571,-2.019030,-0.515282,-1.613660
