Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,-1.117331,-0.447393,-0.179954,-1.271509,-1.550385,-0.466314,0.790705,-1.112995
1002,-0.146549,-1.533049,-0.935597,-0.042755,-1.025298,-1.356891,-1.102728,-2.538026
1003,-2.486051,-2.254875,-0.225425,-0.093120,0.246105,-0.186794,-0.490879,-0.404546
1004,-1.457629,-0.163293,1.800583,0.681937,-2.920600,-0.562404,-0.344446,2.943070
1005,0.112137,0.619201,1.454373,1.349151,1.239652,1.668922,3.553324,1.419578
1006,-0.712856,-0.386738,0.508604,0.312550,-0.887381,-1.105250,1.625163,1.952201
1007,-1.234264,-0.611852,-0.399363,1.080528,-0.968217,-0.433434,0.883965,-2.382093
1008,0.409704,0.319471,-0.315674,1.524215,-1.599200,0.742159,-0.389085,1.701236
1009,-0.558276,0.555561,-0.403829,-0.349654,-1.924072,1.227092,0.169668,-0.386645
1011,-0.653183,0.746886,0.566525,0.302772,-1.551439,2.088784,-0.675790,0.398523
1012,-1.066590,0.588231,0.188430,0.442136,0.660322,0.133862,0.186975,-0.006616
1014,-3.519973,-3.888709,-3.641453,0.804185,-2.641325,-1.464572,0.277935,-1.241058
1015,-2.251634,-0.419277,-2.888311,1.170799,1.493680,-0.533380,-1.744000,-0.385882
1019,-0.690833,1.494154,1.103167,0.292280,0.997241,0.211004,1.532697,1.230510
1022,-1.006668,-1.039290,0.280778,1.700890,-0.058076,-0.109037,1.327421,-0.157558
1023,-2.693078,1.408782,0.169308,-0.146541,-2.099853,-0.546358,-0.317737,0.771836
1029,0.117418,-0.252827,0.124434,-0.408692,-1.865263,-1.120707,-0.159039,-1.957581
1031,-0.185643,-0.130263,0.006918,1.955664,-0.061483,-1.766968,2.549124,-0.339581
1032,-1.444656,-0.860155,-1.414918,0.113775,0.886887,0.135554,2.174614,-0.311255
1034,-1.583674,1.089169,-2.897759,-0.174436,0.394986,-3.363982,-3.288243,0.374095
1036,-1.046082,1.783810,1.745865,-1.304234,0.110977,0.551785,2.236000,-0.120326
1037,-0.910207,0.656067,1.523016,-0.539219,-0.718512,-1.841144,0.729224,2.084968
1038,0.053511,-0.021621,-0.002979,0.420034,1.154828,-3.007098,0.156030,-0.350648
1040,2.378404,0.898135,-0.037612,-0.787062,-0.081176,0.422241,0.713863,-1.641828
1041,-0.091828,1.751118,-0.902393,-0.031167,-0.673985,1.333938,0.588354,0.982840
1042,-1.859481,2.088778,0.098580,-1.011602,1.019722,2.698381,-0.160963,1.644195
1043,-0.634657,0.808238,1.358600,0.152225,1.298402,1.148448,1.149407,2.220020
1044,-0.237248,0.204653,-1.093574,-0.709551,-0.666974,-0.230102,0.067703,-1.336782
1045,0.277394,-1.453761,0.592994,1.235136,-1.389188,-0.900698,0.326682,0.714686
1047,-0.344051,-0.804647,-1.529431,-0.252898,0.215481,0.310399,0.179010,-0.299227
1048,0.269349,0.032376,-0.335172,0.889239,-1.246227,0.811935,-0.094877,-0.251434
1049,0.085187,0.297214,-0.167627,1.173606,-0.022213,-0.601612,0.233818,0.171614
1050,-1.175385,0.493198,1.161265,0.984281,0.095332,1.695302,2.709882,0.246613
1051,-0.337799,2.456310,0.446697,-1.307815,2.337242,0.225194,-2.068988,-1.557307
1053,-1.306377,-3.615639,-0.731135,-3.090748,-1.948511,-1.871658,-0.160164,-1.524436
1056,1.025285,-0.873675,-2.380796,0.187411,0.252846,-1.241439,2.111534,-0.540738
1060,-1.541080,-2.120182,0.452420,1.299068,-1.767578,-2.305931,-0.187730,1.443646
1061,0.335468,0.260219,-1.533025,1.651585,-1.390082,0.311545,0.461276,0.551052
1063,-3.651923,-1.788852,0.148206,-0.073430,-0.400298,-1.748149,-0.616542,-0.438247
1071,-1.434486,0.887417,1.002321,1.669243,0.866021,-0.457737,0.015880,1.123413
1072,-2.793848,1.563210,1.734775,-0.890356,0.973712,2.165932,0.006656,0.041419
1077,-2.246851,0.275355,0.217492,0.551960,0.785225,2.379545,1.806731,-1.902827
1078,-2.358947,0.617943,-0.540201,-2.813319,-0.417145,-0.088862,0.256262,-3.323927
1080,-2.205953,1.818360,0.626998,-0.687341,1.128766,-1.386375,-0.694443,-2.219976
1081,-0.387367,-0.833385,2.095545,-0.897567,-0.783473,1.610716,0.821776,1.028460
1089,-1.451477,-1.327107,-0.026277,0.657555,-1.486233,-0.466083,0.858575,2.290007
1090,0.669637,0.729637,-0.222317,-1.647539,-0.580465,-1.325996,-0.115246,-0.347813
1091,-3.568955,1.275256,1.706405,-3.274957,-0.699954,1.694222,2.732963,-3.460678
1098,-0.040584,0.528277,-1.762247,0.204350,0.704361,2.176783,-0.052513,-0.127200
1101,-0.612188,1.468442,0.944644,-0.539994,1.511401,1.782241,0.935850,-0.763195
1102,-0.953204,1.325665,0.371673,-0.798704,1.413209,0.612583,-1.638793,0.146192
1105,-0.462019,-1.624330,-1.531094,-0.865543,0.275843,-0.785106,0.146364,-0.900155
1106,-0.183331,-0.395329,-0.497727,0.299796,1.619709,0.694715,-0.195155,-1.084918
1107,-0.018801,0.332519,0.986124,-0.242511,1.845584,2.274752,0.464505,-0.034449
1113,-3.010203,-0.912632,1.703504,-0.640742,-0.736031,-2.286216,1.420887,-0.438426
1114,-3.536607,-1.383100,-0.198301,0.223355,0.529895,1.325255,2.247697,0.912877
1115,0.133267,0.202028,-0.330841,0.575736,0.378816,-1.003771,0.036384,0.078696
1116,0.739431,1.417934,-0.010823,-0.856443,1.414337,-0.029105,-0.352793,0.471723
1117,-0.301252,-2.074596,1.000017,-1.448154,-1.130650,0.706742,0.180330,-1.487394
1118,-1.948156,0.716993,0.085605,-0.993164,0.501091,-0.699008,-0.643908,-1.632363
1119,1.688803,3.192642,2.576661,2.349739,2.386154,0.761139,-1.239709,1.718145
1120,0.323585,0.340594,-0.069659,0.427860,-0.364166,1.317208,0.879007,0.453966
1124,-1.603833,-0.421847,3.339163,-1.859551,0.119596,3.218391,0.968956,1.050900
1125,-1.397677,-0.542560,0.261466,-2.575087,-2.463803,-2.632238,-2.528625,-2.230479
1126,-1.632684,0.223628,-1.429655,-2.068292,-1.200860,-0.108505,-1.470628,-0.191408
1127,-1.838864,1.264193,2.680623,1.157522,2.158509,-0.630845,-1.305060,-2.243691
1128,-0.259162,-0.131830,0.437600,-0.328662,1.949948,-1.736495,0.476923,-0.199293
1132,-2.258404,-0.544825,-0.878100,0.045842,-1.160938,0.754762,-1.459951,-0.903551
1133,-1.128438,2.306052,-0.573647,-0.962945,-2.544121,-1.356235,0.845709,0.456372
1134,0.663143,0.568592,0.223633,1.637920,0.488597,0.284437,1.846711,-0.881487
1135,-0.851667,0.773181,0.763202,0.882120,-1.009567,-0.693432,-0.885508,0.190445
1136,-0.838517,0.613311,-0.153684,0.623222,1.306511,0.596051,-3.218795,1.822961
1137,-0.846218,-2.948755,0.420918,-0.057821,-2.126468,-1.898072,-1.254835,-1.290114
1138,-1.502855,-0.070487,1.003935,-1.988411,-1.116992,0.402707,0.821589,2.942060
1139,-1.589084,1.698892,0.095768,0.155517,-1.879418,-1.262910,-2.401548,1.804214
1142,-0.483449,1.466295,0.965740,0.231194,1.359307,0.017487,1.286613,-1.300854
1143,-1.292698,-0.410681,0.029017,-0.313021,-0.312371,-0.602430,-0.281784,0.322202
1145,0.712879,-0.192574,1.332384,1.791925,0.142303,-0.160349,1.141857,-0.992782
1146,0.552525,0.217138,-0.296561,2.005612,0.933846,1.279252,0.157093,2.633282
1147,-1.094269,-2.005197,0.665214,1.314457,0.719506,-0.036534,-0.817224,2.810127
1148,0.992190,0.510736,2.262086,-0.084444,-0.100394,1.838677,-1.080778,2.397783
1150,0.217391,-1.656480,-1.906049,-1.484146,0.544177,-0.976300,0.292244,-1.747522
1151,-0.521472,1.286130,1.523555,1.319071,-0.563898,-0.511102,0.313330,0.640200
1152,-0.373099,1.344233,2.444007,1.851480,2.014619,1.351099,-0.530787,-0.370831
1153,0.336809,-0.992586,-0.852637,0.771441,0.084148,-0.729305,-1.494828,-0.274193
1154,-0.791175,-0.289007,-0.367441,-0.402466,0.825393,-0.033049,-1.440792,-1.001133
1157,-0.867445,0.078626,0.816869,-0.741749,0.333344,-0.823018,-2.751508,-1.264647
1158,0.563667,1.849542,1.000477,1.506085,-0.815964,-0.662139,3.701028,1.417198
1159,0.510052,1.612631,2.898715,1.096387,1.510604,0.893463,0.425325,0.173504
1160,0.625063,2.457755,0.362778,0.651514,3.105049,1.237257,1.620700,1.168809
1161,-0.325087,-2.251535,0.246103,0.296675,0.723756,-1.347455,-1.524204,0.481820
1162,0.227293,1.353109,-0.222237,-1.893508,-1.545697,-2.812179,-0.371839,-1.137266
1163,-0.652753,0.382035,-0.810149,-0.289197,0.260949,0.720311,-3.192100,0.318967
1166,-0.063875,0.448639,0.358593,-0.322002,0.560192,0.361075,1.411159,0.279489
1167,1.048559,-0.326248,-0.282703,1.137748,1.360076,-0.024957,1.808971,-0.891218
1168,0.363019,-0.300214,0.355197,-0.132143,-0.271721,-1.015639,1.221908,1.074586
1171,-0.268984,1.002141,0.765717,-0.786814,0.227072,-0.257638,-0.757371,-0.940853
1173,1.967069,0.500486,1.775366,2.313369,-1.488020,-0.264700,0.385183,0.526377
1175,-0.452897,1.992203,-0.515561,1.605651,1.105076,0.184954,-0.975941,2.004183
1176,0.232078,-1.245367,-0.932013,-1.618509,1.283260,2.188451,-2.504260,0.116749
1177,-1.894413,-0.243661,3.688282,-1.909832,0.830281,1.815807,1.830320,0.793486
1178,-2.125182,-1.334663,-0.261061,0.016765,-0.873691,0.863624,-1.053603,-0.182904
1180,-0.388690,0.616487,1.563155,-1.234010,1.034224,0.744530,-1.141587,-1.540814
1181,-1.523292,-1.039779,0.055874,1.423186,-1.901298,-1.570808,1.052613,1.472940
1182,-2.810244,-2.179671,-3.138390,-1.758145,-1.895647,-2.628691,-2.977005,1.202824
1183,-1.026691,-0.175846,-1.259696,-0.398137,-0.515060,-1.372200,0.888237,0.780334
1185,-2.761368,-1.344592,-0.185932,-2.240301,-0.325848,-1.309472,-2.432749,-1.491436
1191,-1.393950,-0.484593,-2.491889,-0.782856,-0.232592,-1.137826,-3.188161,-2.490438
1192,-2.479795,0.093550,0.411377,0.182307,0.113018,-0.497427,0.466395,0.157851
1195,0.254361,1.969257,-1.789442,0.936982,1.350746,0.153248,0.953075,0.821175
1196,-0.907845,-0.228814,-0.608473,-2.992387,0.848091,0.489934,-0.930988,-1.573778
1197,-1.501765,-1.600030,-0.381938,-1.657687,-0.841208,-1.588546,-1.097787,1.093284
1198,1.161494,1.443820,0.769527,-0.480482,0.522051,0.217340,-0.651321,1.117641
1199,-0.252147,-0.944753,-2.031550,2.768599,0.239049,-0.747779,-2.377546,-0.747722
1200,-1.033200,0.325398,1.242036,-0.205078,-1.213153,0.120073,-2.262425,0.697814
1201,-1.535441,0.166655,-0.268080,-0.022955,-0.630610,-0.724953,-0.813706,-0.294664
1202,-3.018064,1.842854,0.969067,-0.487867,1.521947,-1.068933,2.266514,-2.775044
1203,-1.621805,0.997514,2.003724,1.006084,1.291241,-0.325589,2.923137,1.707834
1204,0.427308,-0.001208,-0.466873,0.383819,0.243472,-1.161667,-0.568899,-1.358132
1205,-0.804212,-2.356842,2.795590,1.070208,-0.220561,2.607703,0.738245,1.281537
1207,-0.055048,-0.951203,-0.936364,0.541246,1.262009,-0.187211,1.257299,0.602296
1208,-1.571682,-0.326200,-2.273190,0.190245,-0.361456,-1.337111,1.744393,-2.362819
1212,-0.419282,0.054356,0.185639,-2.486938,-0.089254,-0.989909,-1.720288,-0.114857
1215,0.650855,1.391579,-0.390822,-0.651465,0.061750,-0.102721,-1.436202,-1.207513
1216,-0.138491,-0.222150,0.150341,-0.497480,0.563311,1.710996,-1.215721,-0.285064
1218,-1.615659,1.114638,0.762045,2.439897,-0.265870,1.155813,2.112294,1.927637
1222,-1.294385,0.435698,0.936661,0.904853,1.504023,-1.479573,1.157481,0.876486
1223,-1.931863,-3.068869,2.059312,1.052683,-1.928680,-1.572826,1.753365,-0.626970
1226,0.385058,-0.004531,0.216036,1.205798,1.006998,0.574793,1.166774,2.098374
1228,-0.751212,-1.720867,0.455868,-0.020678,-1.531571,-0.689553,-0.425547,-1.212846
1232,-0.697368,0.719720,0.013119,-0.593821,0.011125,-1.979360,0.093605,-0.841427
1233,0.145097,-1.089639,-0.212052,0.433255,-0.795993,0.679006,-0.194498,1.638117
1237,0.872452,-0.648824,0.135196,-0.113872,0.463854,-1.501320,0.737607,-1.926396
1239,0.053223,-0.360511,-1.043662,1.536802,0.857901,-1.430263,-1.504717,-1.308575
1240,-1.915838,-0.855178,1.131910,1.054847,0.365065,0.717512,0.740317,0.456838
1244,-0.300154,-1.563005,-0.511112,1.165440,-0.552099,4.302934,-0.892795,1.142819
1245,0.200244,1.399458,-0.987262,0.702393,-1.345703,-0.765228,1.046301,2.738036
1246,0.119341,-0.515037,0.651417,-0.602041,1.405006,0.690482,0.190930,-0.891326
1247,0.086538,1.080429,-0.897131,-0.874671,1.322131,0.118584,0.242908,-2.544867
1248,-0.682405,-1.601754,0.032513,2.903147,-0.214333,-1.317367,-0.764555,0.531632
1249,-1.003269,-0.321790,-1.108561,-1.243634,0.628074,-0.916053,0.786166,-2.222222
1250,-0.977564,-2.849833,0.248680,2.610340,-1.238628,-1.409267,-1.116423,1.189630
1252,-0.272932,0.367733,-1.365916,2.188751,-0.038457,1.364171,1.564177,1.031725
1253,-0.944920,1.098724,-1.150852,0.217341,0.842113,1.370658,-0.477099,-1.165955
1254,-0.108476,-0.568101,0.014553,-0.572260,-0.764007,-1.275125,1.304072,0.794881
1256,-0.747967,0.497585,-0.271950,0.692865,-0.821411,0.564135,-1.433782,1.100722
1262,-2.197285,-0.945050,-0.493238,1.989024,-1.239504,-1.325733,-0.630101,-0.179651
