Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,0.647775,1.707155,-0.500975,0.692284,-0.775887,1.901746,1.829291,-0.334075
1002,-1.125220,-2.354773,-2.814088,-0.222105,-0.773418,-1.650637,-2.135895,0.565915
1003,-1.795293,-0.877210,-1.218385,1.179079,-0.510265,-0.324894,-0.704166,0.448382
1004,0.801293,1.763774,3.539966,1.927025,0.626191,-0.249769,4.510719,3.102667
1005,-0.809397,1.150658,2.157513,1.502346,1.701820,2.351873,1.789290,-0.130134
1006,0.103682,-0.605206,1.610893,0.504470,0.127666,-0.501278,1.566963,-0.031578
1007,-2.589887,-0.601877,-2.313312,-0.042356,0.051189,-0.825719,-1.049386,-2.393325
1008,-2.046224,0.418621,-1.849389,-1.123080,0.944402,-2.553515,0.843875,-2.568594
1009,-1.103538,1.647997,-1.723394,-1.298911,0.162378,0.585336,-0.038174,-1.425713
1011,0.188067,0.771923,-1.677392,-0.770964,-0.167497,0.759011,-0.337346,0.497285
1012,-0.598428,-1.099287,1.470373,-0.138388,0.030930,-1.197413,-2.782274,0.686851
1014,-1.524027,-1.381932,-0.301768,2.838228,-1.695085,0.836525,2.293923,0.358974
1015,0.998286,0.325913,1.353171,0.827086,-0.132023,1.306989,-0.030511,-0.630131
1019,2.621681,1.478230,1.428393,0.069494,0.417935,-0.891745,-0.167120,2.179495
1022,-2.623557,-1.380687,-0.393801,-0.992151,0.401370,-2.097634,-0.838781,-0.848198
1023,0.067609,-1.106873,-0.840303,-0.709946,0.515553,-0.810374,-1.018590,-2.321894
1029,-0.608360,0.579002,0.085089,2.250193,-0.695271,0.204309,0.839405,1.236769
1031,-0.097103,0.603958,-0.439278,1.851694,0.948073,-1.470406,-0.365819,-0.420502
1032,-1.730942,-0.046915,-0.616197,-1.229092,0.913643,0.807543,0.390051,-0.649166
1034,-2.723955,2.284853,0.283411,0.359679,1.008600,-2.373786,-1.627271,0.499630
1036,-1.046670,0.019865,-0.182421,1.099387,0.326612,-2.437109,-2.633987,0.682436
1037,-1.332779,-0.438474,1.714921,-0.020664,-0.853153,0.124020,1.680537,1.803288
1038,-0.979918,-0.070809,1.117125,1.907252,-0.306177,-0.195939,1.345916,1.357472
1040,0.750037,2.358480,0.525204,-0.297214,1.625823,1.381812,-0.999550,-0.454431
1041,0.250193,-0.407579,-0.272921,-1.560044,-1.328818,-1.074613,0.045070,-1.028440
1042,0.042107,1.213899,-0.272318,-0.560185,1.747111,1.497681,-0.361293,-0.392106
1043,-1.181705,1.733666,0.227851,-0.048288,0.489664,2.345154,-0.522617,-0.323403
1044,0.208150,-0.487869,1.294966,1.424941,-0.526072,1.318809,1.853309,0.413593
1045,0.612440,1.437572,-0.321591,-0.994180,-1.556699,2.582749,-0.234345,-1.975296
1047,0.745369,-0.425691,1.181237,1.228149,1.072955,0.293751,-0.615421,-0.257018
1048,-0.399351,-2.216724,-0.596636,0.508325,0.640154,-0.618979,0.433162,2.302958
1049,-2.738711,-0.261868,-1.135804,0.155609,-0.373214,0.909168,-1.521595,0.406533
1050,-0.191807,0.387345,1.110816,1.264511,-1.193281,-0.007912,1.754249,0.260813
1051,1.552296,0.322396,2.375761,-0.384212,1.333050,1.095328,-0.296738,-0.154825
1053,-2.112576,-1.641121,3.007824,0.697345,-1.473232,-0.910232,-0.927372,-0.895539
1056,1.764804,-0.210365,0.186654,1.439382,-1.713893,-0.391388,-0.001514,0.259251
1060,1.492826,-1.992912,0.377469,0.227757,1.373888,1.235622,0.972774,-0.140686
1061,0.859817,0.063905,0.977821,0.075167,0.802663,-3.767020,1.016778,-0.836232
1063,-2.186111,-3.379534,0.651636,-0.115448,1.377883,-2.956293,-1.316404,-0.682105
1071,1.833507,-0.481932,0.905087,0.559824,-0.744271,0.136950,0.153770,0.281425
1072,-0.493144,-1.202592,0.921196,1.000033,0.142233,0.817140,-1.737897,-2.119034
1077,0.486611,-0.651422,0.172574,-1.251860,-0.043063,1.026999,0.395589,0.161631
1078,-1.711992,-1.523937,1.199211,-0.261598,-0.736870,0.305309,-1.036693,-0.940530
1080,0.268102,1.731796,0.635922,0.031065,1.955852,-1.574167,-0.020788,-0.233046
