Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,0.334048,1.958710,0.091959,0.574114,0.657544,2.086788,1.373277,-0.507793
1002,-0.081552,-1.546162,-1.684017,0.608601,-0.999594,-1.677003,-2.386513,0.079114
1003,-0.554643,1.169385,0.305206,0.692826,-2.000010,0.459369,-0.093641,-0.489010
1004,0.254499,1.386707,2.956396,1.631424,0.127344,0.645875,1.495135,1.634610
1005,-0.176056,0.691142,1.298545,1.297565,1.241923,1.369977,2.125061,-0.379013
1006,-0.133475,-1.156315,1.436756,1.660278,0.574786,0.093686,2.262665,0.164865
1007,-0.658418,-0.959352,-1.448817,-1.208110,-0.391123,0.034586,-2.502374,-0.887494
1008,-1.912524,-0.608834,-1.618856,-0.465749,1.140392,-2.310662,-0.613345,-2.063134
1009,0.126160,0.631588,-0.884149,-0.371587,0.477592,-0.371121,-1.283675,-1.181717
1011,0.211700,-0.423492,-1.266335,0.517299,1.171130,0.859255,0.866846,0.976009
1012,0.250959,-0.841853,0.540646,-0.440513,-0.339167,-0.114820,-2.580602,0.380349
1014,-1.483488,-0.683945,0.799490,1.705022,-1.516803,1.936956,1.477869,0.164366
1015,-0.422347,-0.090697,-0.589537,-0.694969,-0.195326,1.127570,0.237679,-0.242525
1019,1.515351,-0.107046,1.177000,0.840377,-0.700732,-0.947756,-0.495709,1.679977
1022,-1.599997,0.114008,-0.108189,-0.163950,-0.935699,-0.476036,-0.900883,-0.752668
1023,0.390885,-1.167481,0.595246,-0.405680,-0.335292,-1.984789,0.024823,-2.088339
1029,-0.727772,0.069695,-0.405460,1.724974,0.415524,1.244992,-0.049121,-0.398149
1031,0.062448,0.303280,-0.385990,1.102815,-0.365853,-0.192973,0.193460,0.584858
1032,0.647317,0.544177,-0.234226,-0.754630,1.635612,2.085093,0.359666,-1.203451
1034,-2.896033,0.883796,-0.034726,-0.017127,1.109114,-2.197107,-0.934940,0.184734
1036,-1.648906,-0.278618,0.301383,0.677759,0.149207,-1.875171,-1.854421,0.113900
