Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,-0.184618,0.996591,0.336723,2.168240,0.464132,0.973043,-0.858094,-0.237250
1002,0.766654,-0.933874,2.237151,0.307208,0.558680,0.001364,2.307918,-0.253451
1003,-0.343759,-0.830913,-0.680072,-2.083724,0.560121,1.393567,-0.564954,0.320938
1004,-0.075603,-1.393863,-2.259621,-1.211435,-1.049956,-0.175308,0.572434,0.808641
1005,-0.962104,-0.909132,1.091131,0.304876,-0.450269,-1.447992,0.875159,0.064915
1006,-1.632792,-0.682039,-0.012995,1.968544,0.621322,-0.311007,2.254983,-0.842032
1007,-0.036671,-0.981346,-0.796835,-0.871933,-0.879772,-1.120980,0.862382,0.148489
1008,-1.063860,-0.830894,-0.372479,0.034074,1.022417,0.781195,2.067961,0.310218
1009,-0.485370,-0.950557,0.266660,-0.627823,-0.546991,-0.906977,-0.071660,-0.175455
1011,0.867794,-0.300261,0.714813,1.451276,2.185941,1.148135,-0.467509,-0.932585
1012,-0.557137,1.240911,1.822382,0.259475,-0.448151,0.636377,1.115084,0.621603
1014,0.240474,0.386401,0.704603,-1.453479,0.684160,-0.091426,-1.245470,-0.239002
1015,-1.223371,-0.640149,-0.286354,-1.532979,1.552948,-0.785920,-0.485390,1.042696
1019,-2.614050,0.329762,-0.073477,-1.666203,-0.660424,-0.853304,-0.193002,0.583846
1022,-2.060992,-1.104075,1.146076,0.582001,0.314888,-0.567724,-0.825085,0.332496
1023,-1.540107,-0.623166,0.440893,-1.028758,0.786313,-0.831073,0.220807,-1.211514
1029,-2.127831,0.347634,-1.525997,0.967502,-2.153160,0.020735,-1.561618,0.418513
1031,1.310657,0.414789,-0.253631,-0.087230,0.208812,0.078750,-0.189123,0.538642
1032,-0.515012,-0.689211,1.284234,0.242207,0.659255,0.305188,0.030995,-0.638742
1034,-0.974871,0.927545,-1.436355,1.175820,2.062803,-0.108996,1.077847,1.067180
1036,-0.033026,0.455930,1.297067,2.365282,1.240414,-0.263846,0.809761,-0.084822
1037,-0.266061,0.195409,0.816740,-0.701665,-0.925630,-0.250174,-0.095521,-0.107485
1038,0.046905,-1.291086,-0.016415,-0.915535,0.329308,0.157307,2.138414,-0.204160
1040,1.125658,0.980890,-0.338426,-0.148309,0.283579,2.118232,-0.496965,-0.065748
1041,0.200223,-0.145610,-0.091426,-0.504801,1.437535,1.069328,1.138195,-0.307374
1042,-0.343796,-0.598874,-3.201161,0.376823,1.435838,-0.360676,1.197234,0.619971
1043,-0.113906,-0.495073,-0.250072,0.725807,0.612195,-1.678387,2.893770,0.882705
1044,-1.680085,-1.180040,-0.422936,1.223820,0.457358,-1.699741,1.190250,-0.587447
1045,0.319884,-1.079078,-0.118956,0.848510,-0.168272,-1.226576,-0.424151,1.210698
