Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,0.922707,1.588756,-0.533695,1.043215,0.389891,1.634095,1.663781,-0.534204
1002,-0.415237,-1.357391,-1.724678,-0.166108,-1.449737,-1.379126,-2.026867,0.421205
1003,-1.358523,-0.272910,-0.597889,2.378886,-0.810211,-0.924375,0.287468,0.242644
1004,0.150991,2.462258,5.281369,2.788139,0.445455,0.950148,3.684971,3.880210
1005,-1.222339,0.140374,1.537034,1.614026,0.203960,0.222259,2.276475,-0.944835
1006,0.568742,-0.645140,1.961325,0.072315,0.505039,-0.660786,1.369842,-1.025702
1007,-2.627756,-0.539528,-2.172312,0.039071,-0.734406,-0.046234,-1.600988,-2.971575
1008,-2.247886,-0.025003,0.136527,-0.443565,0.059626,-1.068036,0.686634,-1.304337
1009,-1.140205,1.540766,-1.652665,-0.633227,-0.492103,0.847399,0.375055,-0.628013
1011,-0.468829,-1.136273,-1.554419,-0.182206,0.781572,0.407115,-0.932520,0.020038
1012,-0.413539,-0.083842,1.737650,0.459694,-1.279843,-0.686966,-1.401400,-1.295870
1014,-1.049011,-1.096880,0.681363,1.044965,-1.863126,1.006332,1.479181,0.875800
1015,0.722412,1.247175,0.026092,1.284253,0.068882,2.420673,-0.523564,-0.613044
1019,3.000784,0.748248,0.645729,-0.296740,0.577699,-0.734394,-0.604686,2.038866
1022,-2.928605,-1.223970,-1.109048,-0.415376,-0.473350,-1.332072,-1.581283,-0.945519
1023,-0.746512,-1.332476,-0.811523,-1.379080,-0.326109,-2.019092,-1.639973,-2.791736
1029,-1.826945,0.124039,0.118409,3.042653,-0.509230,0.273070,0.222687,0.921987
1031,0.725173,-0.760732,0.126835,1.892058,0.513325,0.158734,0.739144,-0.038013
1032,-1.176147,0.575097,-0.933692,-1.420334,1.612545,1.262593,-0.812898,-1.564427
1034,-2.703128,3.106886,0.198017,-0.114754,1.756701,-2.193029,-1.748535,-0.677260
1036,-0.382857,0.283097,0.162843,0.620713,0.187058,-2.414023,-1.114611,-0.482601
1037,-1.831097,-0.986167,3.037807,0.863835,0.089876,0.301434,2.169085,2.657710
1038,-0.927684,1.361342,0.739327,0.792709,0.379608,-0.886553,1.685179,0.368850
1040,1.681123,2.385860,-0.266545,-0.794416,2.144606,2.044622,-0.418791,-0.753144
1041,-0.016493,0.055098,0.158219,-0.647188,-0.677426,0.007067,0.299016,-0.083676
1042,0.902501,1.524694,-0.357749,0.767930,0.706913,1.896665,-0.466052,0.496878
1043,-0.366535,1.002120,-0.879874,0.210896,0.000644,-0.154784,-0.215978,0.552133
1044,-0.140650,-1.885312,1.329988,0.745459,-0.417615,-0.345054,2.474153,-1.073835
1045,1.067838,0.403577,0.142234,-1.079592,-0.498159,1.595451,0.400760,-1.741546
1047,-1.011315,-0.953923,1.346100,0.975824,1.338461,0.183917,-0.496380,0.251924
1048,0.497581,-0.674676,-1.164526,0.935939,0.160595,-0.802167,0.217604,2.627430
1049,-2.910032,-1.867555,-0.768798,0.358989,-0.904163,0.846863,-1.516528,-1.083892
1050,-0.133147,0.387083,0.137099,1.016268,-0.445094,0.783041,1.055301,-0.189208
1051,1.012432,0.040220,1.593890,-0.847557,0.941329,0.261209,0.274350,-0.791537
1053,-0.788590,-2.338133,2.284605,0.468536,-1.322598,-0.774070,-0.412697,-0.733100
1056,1.247545,0.544182,-0.260820,2.250885,-0.344077,-0.572161,1.197898,1.003632
1060,1.329931,-0.986436,0.603769,0.505529,0.410375,0.634798,1.261004,-0.067671
1061,1.342924,0.805824,0.477779,0.237266,0.046900,-1.887197,0.981660,0.094604
1063,-2.326479,-2.025307,1.623149,-0.465495,1.456482,-2.912591,-1.615745,-0.612725
1071,1.552630,0.131050,1.572479,0.955878,-0.380973,0.680536,0.441359,0.816023
1072,-2.214742,-1.786124,-0.003889,-0.638272,0.649303,0.264982,-1.399662,-1.656463
1077,0.960415,-0.329084,-0.051817,-0.778771,0.487198,1.239990,0.136055,-0.470262
1078,-0.144427,-0.913044,1.073667,0.145047,0.317437,1.639146,-0.582888,-0.512030
1080,-0.075344,2.868052,0.011267,0.043954,2.476537,-2.657737,0.219158,-0.439404
1081,-0.275987,-0.019840,0.020295,0.305872,0.083813,-0.581999,0.529960,-0.384616
1089,-0.752321,0.440292,1.219815,0.842127,-1.591457,-0.175694,-0.151773,0.688746
1090,-2.735487,-1.840990,-1.526906,-1.793683,0.130377,-0.847548,1.167527,-1.710402
1091,-0.345206,0.669691,2.219044,1.172456,0.864925,1.913051,0.833979,0.287312
1098,-1.176148,2.575781,-0.251956,0.095254,0.485404,0.603923,-0.908333,-1.729650
1101,-0.970211,-0.809534,0.348650,0.594501,-1.774817,1.211917,-0.771438,0.111595
