Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,-1.671786,-0.948909,-3.154720,-2.074916,-0.366365,1.246504,0.845497,-1.146694
1002,-1.780034,-0.522313,-1.119389,0.417827,-1.259170,-0.078211,-0.694826,0.332381
1003,-3.463948,-1.008217,-0.125091,2.565462,-0.407523,-1.608193,1.246936,0.148499
1004,0.882107,0.889157,1.797834,2.897589,-3.126464,-0.870464,2.830129,5.014149
1005,-1.657596,0.658300,1.671048,-0.508805,0.691316,1.097570,3.911159,0.220485
1006,-0.148868,0.335374,2.081915,-1.352111,-2.780562,0.631216,-0.210088,-1.561081
1007,-2.036815,-1.366878,1.931067,0.051859,-2.839034,-0.076722,-0.780273,-6.520482
1008,-1.552827,-1.794728,0.851885,0.569550,-1.477784,0.197183,-0.710320,1.177596
1009,-1.257699,1.202304,-2.462300,0.032324,-1.789161,2.209746,0.050752,-0.358001
1011,-3.968019,2.104558,-1.165061,-0.331786,-2.271324,-0.125592,-3.315077,0.569483
1012,-0.720943,1.131598,1.146774,-0.474650,-1.450374,-0.129793,1.464634,-0.241839
1014,-4.052617,-4.404972,-1.838942,2.594332,-3.468376,-1.746151,2.338466,-0.037689
1015,-1.088527,0.892416,-0.900637,1.940593,0.503188,0.171716,-0.225464,-0.871685
1019,2.567590,1.799519,0.784604,0.875508,0.329014,-0.430380,2.679074,0.258974
1022,-0.425319,-0.574752,1.171948,1.359126,-1.144314,1.342704,1.588537,1.300330
1023,-2.326780,0.947238,-0.940822,-0.385566,-2.859465,-1.656269,-2.528437,-1.153284
1029,0.655530,-1.704229,-0.176231,1.214582,-0.761452,-1.417053,-1.052374,-0.913858
1031,0.348575,-0.664972,-1.794885,2.497212,-1.275783,-0.694124,0.709734,-2.279333
1032,-2.731320,0.622962,-0.211119,-0.723430,-0.287155,-0.992357,0.331006,0.278205
1034,-1.137113,2.146251,-1.318046,-0.098272,0.301511,-1.639735,-2.632477,-0.104744
1036,-0.556471,2.122421,0.979452,-1.037803,-0.000253,-2.362126,1.027104,-0.081573
1037,0.616782,0.624836,0.582634,-0.308468,1.513156,-0.264620,1.463134,0.603000
1038,-0.071246,-0.441775,-1.576641,0.401114,0.544997,-1.891476,0.950915,-0.410849
1040,3.403873,-0.868931,-0.317904,-1.976726,-0.207339,-0.683393,-0.111028,-2.726696
1041,-1.210041,-1.229888,-0.200514,-0.453349,-3.409409,0.116251,0.363073,0.474810
1042,-2.753385,0.943559,0.814822,-0.834333,1.104795,0.040966,-1.651180,-0.660895
1043,-0.647738,2.402849,1.568590,0.628679,0.371129,2.245187,1.752350,1.699310
1044,1.441025,-2.086109,-0.378303,-0.629591,-3.426312,-2.568984,1.101502,-1.453960
1045,0.734574,-0.254346,1.872205,3.322422,0.365796,-1.323790,2.204918,1.509603
1047,-2.235915,-0.335458,-2.258591,-0.844468,-1.379401,0.182520,2.343594,-0.514769
1048,0.222149,0.141681,-0.718094,0.454202,-0.959126,1.118460,0.090957,-0.065081
1049,-0.059743,-1.066763,-0.549066,-0.086594,-2.622560,-0.874636,-1.292339,-1.433241
1050,-1.160867,0.736701,0.828378,1.716573,-0.675796,0.762950,2.974036,0.135443
1051,-0.695907,1.039665,0.547581,-3.473384,0.803192,-0.354907,-1.348186,-3.359819
1053,-1.499334,-3.563140,-0.154818,-3.360029,-3.091322,-2.410116,0.201881,-1.874615
1056,3.249125,-0.010585,-0.398193,-0.967673,0.216088,0.305548,0.367199,0.056116
1060,-0.599059,-2.006118,0.296995,0.824793,-1.054775,-1.962537,-0.928823,1.137297
1061,-0.555799,0.464271,1.823062,0.948675,-0.929896,-1.285224,-0.153269,1.019733
1063,-4.849732,-5.222020,0.268214,-0.344687,-1.787696,-2.983528,-0.408403,-1.215193
1071,-0.045195,-0.368682,1.040234,2.500427,-1.130791,-0.247024,-0.705801,0.410959
1072,-4.232192,-2.142645,0.070851,-0.212749,0.401607,-0.564094,-3.555606,-3.264660
1077,-2.839233,-0.150997,0.677107,-0.399465,1.477002,1.298560,0.888230,-1.522650
1078,-2.263438,1.690439,-1.422722,-2.208639,-0.161617,1.657564,1.356990,-2.686330
1080,-0.173396,1.808276,0.107636,-0.471314,1.772586,-1.346800,-1.224755,-3.619311
1081,0.164003,-0.584767,1.046982,-1.330465,0.350202,0.331976,1.623266,-0.781333
1089,-4.196046,-1.883048,-1.256023,-0.886373,-3.661447,0.957568,-0.423109,0.532360
1090,-0.830226,-1.426072,-0.561158,-0.346409,0.125059,-3.212768,-2.801421,-1.204753
1091,-3.452423,1.908965,1.440129,-3.361660,0.932265,0.771159,-0.302176,-2.458602
1098,-1.544616,-0.670257,-2.306248,0.475310,0.088404,1.690364,-1.705417,-1.043312
1101,-0.720749,0.081487,0.828240,0.169178,0.714642,-0.645605,0.686007,0.696179
1102,-1.817758,3.192249,0.926509,0.461686,3.768892,2.783177,-0.192880,0.908407
1105,-0.836796,-0.480073,-0.243085,-1.376887,0.362817,-1.125349,-0.664713,-1.741474
1106,-1.104773,0.536325,1.324123,-0.962057,-0.284423,0.972286,0.208143,-1.197441
1107,0.644451,0.542642,-0.678335,-0.623945,1.259427,0.952046,-1.423740,0.427166
1113,-1.708746,-1.093884,0.999061,-1.891223,-0.629309,-0.678643,-0.197254,-1.630036
1114,-3.925930,-1.396869,0.442336,0.696091,0.757591,1.143346,1.817830,0.984815
1115,-0.099869,-0.793915,-0.870133,-0.691726,0.279853,-0.675874,-1.417127,0.258834
1116,-0.797132,0.348577,0.755030,-0.725522,-0.203454,-1.298161,0.019577,-0.567758
1117,-0.959292,-0.155614,0.466242,-2.446162,-1.753215,-1.200118,-0.168036,-4.354754
1118,-2.279438,0.677363,-2.019416,-2.216107,0.027370,-2.046710,-0.417132,-2.146461
1119,0.735028,1.495953,-0.311590,0.400799,1.301618,0.612489,-2.541379,-0.416196
1120,1.397707,0.764184,0.144753,1.896356,-0.326816,0.731220,2.832997,0.643927
1124,-1.047317,-1.622466,0.501104,-0.821968,-1.221854,1.633175,-0.794064,0.669830
1125,-0.039468,-2.233582,-0.467057,-3.008672,-4.328283,-3.725073,-2.708135,-3.727961
1126,-1.642757,-1.039957,0.782223,-1.274606,-1.646134,-1.135269,-1.775255,-2.924172
1127,-1.386843,1.874334,1.955855,3.515559,1.905498,1.455650,-1.316077,-0.893340
1128,-0.384254,3.234543,1.052053,-0.992293,0.420490,0.174477,1.421316,-1.390067
1132,-0.742846,2.100488,-0.978258,-0.817538,-1.927473,2.161597,-0.755051,0.839237
1133,-1.893804,5.030806,-1.628884,0.239978,-0.344372,0.851208,0.967713,2.090661
1134,0.801488,-1.471930,0.795165,1.687091,-0.963117,0.617010,1.102298,-2.365115
1135,-1.331223,1.577925,0.427657,2.226648,-1.535645,-0.923083,2.293132,2.685174
1136,-1.119667,-1.185524,-1.240715,0.856712,-1.168122,-1.440224,-1.454359,0.061817
1137,-0.669294,-3.907077,1.079991,-1.170064,-2.413933,-3.841299,0.516936,-2.576904
1138,-1.111937,2.152316,0.031240,-2.996553,1.595829,2.175902,-0.984552,1.443399
1139,-1.417628,0.395775,-0.567159,0.042383,-0.791867,-1.261543,-1.506169,1.726843
1142,-1.286294,0.614061,0.309001,-2.116061,-2.482988,-1.883504,1.397099,-0.929336
1143,0.625418,0.415497,0.758755,0.492751,1.698452,-1.915880,-1.757483,1.691967
