Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,-0.258972,2.186679,-0.431793,0.844185,0.206188,1.863026,1.220108,0.432711
1002,-1.155504,-2.498509,-1.249024,2.712795,-3.014500,-2.134210,-2.027665,-3.077637
1003,-2.566138,1.462269,-0.064171,0.162750,-1.520813,-0.906093,-0.112667,-0.306889
1004,0.104320,0.137771,5.226030,2.575059,-1.824101,0.123362,2.025433,3.178034
1005,-0.862085,0.390429,2.064832,2.165315,0.828626,0.521272,3.365685,0.174005
1006,-0.225956,-0.126844,2.127914,-0.514968,-1.387121,0.255445,0.714785,0.955519
1007,-1.184969,-1.825845,-1.372548,-0.316719,-2.683875,-1.596478,-2.217880,-1.865476
1008,-0.313895,-0.686862,0.040054,-0.594149,-2.123571,-1.653108,-0.064038,0.372788
1009,-1.679196,0.504212,-0.770711,-1.996123,-0.932910,1.101725,-0.044394,-1.306973
1011,-0.392581,-0.313495,-3.142627,-0.790818,-2.073816,1.870798,-0.364797,0.066792
1012,-0.100880,-0.455166,-1.135725,0.386140,-0.929739,-1.145279,-1.928627,-1.192834
1014,-2.648237,-0.927923,-2.242898,0.680779,-1.840291,2.057126,-0.515114,-2.240155
1015,-0.692919,0.902478,-1.115550,1.968099,2.496676,2.258205,-1.471097,0.112519
1019,3.357235,-0.097460,0.304440,0.231433,1.469174,2.020317,-0.402793,0.183579
1022,-3.100170,-1.289949,-0.781008,0.441430,-0.371405,-1.529366,-0.239427,-1.831446
1023,-1.697242,-1.170623,-2.088540,-0.420160,-3.580609,-1.904716,-3.262665,-2.018544
1029,-2.379765,-1.247514,1.124284,0.669731,0.172485,-0.503382,0.406753,-0.743015
1031,-0.565091,-0.913480,-0.260403,3.855950,-1.139572,-1.871862,0.759419,-0.576120
1032,-1.005716,3.013698,-1.535204,-0.621520,0.819850,-0.903214,1.299621,-1.260440
1034,-3.762770,2.256441,-1.901148,-0.528408,1.113783,-3.165597,-4.863352,-0.638214
1036,-0.778385,0.143794,-0.605492,0.731642,0.095332,-1.475067,-1.014074,-0.997738
1037,-1.930017,1.037653,2.032483,0.048691,-0.633829,-0.047692,-0.577900,0.692829
1038,-1.155386,-1.643337,-0.048248,2.284276,0.385673,-1.286068,0.722429,1.786463
1040,1.292378,2.943655,-1.393580,-1.087361,0.732364,3.798707,-0.107023,-1.369163
1041,-0.610833,-2.518640,0.588005,-0.352729,-0.544911,2.147591,-0.347359,2.113493
1042,-1.139955,-0.018942,-2.874089,-1.378564,-0.616051,-0.181661,-0.800145,-1.138696
1043,1.870786,2.889593,1.216293,0.843007,0.662698,-0.114161,2.701192,1.521010
1044,0.955424,-2.605758,-0.119607,-2.538722,-0.673647,-1.619563,1.908692,-0.893321
1045,-0.925354,-0.602873,-0.616960,-2.035874,-0.248802,0.231694,0.918760,-0.506867
1047,-1.321273,2.481902,1.231438,0.464009,0.056449,-0.084091,-2.684495,0.715997
1048,0.352767,-0.426961,-0.176791,1.244932,-1.691668,0.660864,-0.551682,1.887461
1049,-2.482678,-2.404465,1.226657,0.223377,0.725998,0.850092,-1.547227,-0.968089
1050,-1.552382,1.034934,1.674730,3.355352,-1.309945,0.501389,2.988551,0.194406
1051,-0.703517,-0.523417,-0.973519,-2.457979,0.949820,0.822114,1.134764,-1.912008
1053,-0.793105,-3.271272,2.672189,-0.857009,-2.374705,-2.486774,0.405897,-2.089774
1056,2.519156,-0.641715,-2.489637,3.768319,-0.139008,-4.823432,1.636341,0.859147
1060,-0.056412,-1.394967,-0.077128,0.304274,-1.661169,-0.787122,1.609411,-0.921998
1061,-0.781938,-1.472303,-0.553787,0.437436,-0.811851,-4.499119,0.755176,-0.712141
1063,-2.103707,-2.043331,-1.791193,-0.518893,0.243660,-2.640848,-1.850701,-0.889123
1071,1.008751,0.880515,-0.543576,0.841080,2.807163,1.236936,1.250009,2.319358
1072,-3.264542,-0.822504,-0.287406,-0.034058,0.166433,-0.404030,-3.453683,-4.184202
1077,-0.907892,-1.705614,-2.685597,-1.593432,0.272591,-1.042841,-0.973901,0.039184
1078,-0.027895,2.394293,-0.239150,0.343156,1.494987,-2.895451,-0.657515,-1.862452
1080,-2.233462,-0.356572,-0.047769,-0.222772,-1.143770,-0.372081,-1.202379,-1.583671
1081,-2.763225,-0.915396,0.268165,-1.240355,-2.899898,-2.092676,-2.147788,0.268586
1089,-2.707282,-0.607933,-0.383104,0.063842,-1.732796,-1.063401,-0.496801,1.683441
1090,0.401258,-0.451856,-1.464257,-0.642841,-0.774610,-1.860511,0.745273,-1.074140
1091,-0.424310,-0.573468,0.750188,-2.085687,0.146197,0.408514,2.046990,-1.404807
1098,-1.288952,-0.056809,0.407704,-0.267891,-0.806535,0.891219,-1.035689,-1.810726
1101,-0.573564,1.686070,0.584655,-2.807459,0.059064,2.199495,1.135207,-0.615258
1102,-0.690604,0.538859,-0.022273,-1.921780,0.615672,0.976137,-2.777221,-0.141899
1105,-1.978215,-3.063861,-1.801180,-0.400222,-0.717565,-1.017027,1.018362,-3.484451
1106,-0.867151,-0.023437,0.786004,-0.520493,0.369021,0.667557,-0.824163,-4.056531
1107,0.121565,1.434947,2.040664,-1.342839,2.480602,3.877297,1.554092,0.957740
1113,-0.421252,0.808919,1.157656,0.978444,-0.620000,0.293780,0.743130,0.927177
1114,-1.252138,-1.755487,-0.076270,-0.891785,-0.242913,0.676715,-0.600868,-0.574957
1115,1.113225,-1.515718,-0.570280,0.698585,-0.611674,-2.580883,-1.196821,-0.427747
1116,-0.377260,-2.497109,-1.074929,0.732931,-0.835274,-1.563742,-3.991543,-1.038045
1117,-2.193335,-3.430343,0.671839,-1.690084,-2.763056,-1.778405,-2.649602,-3.122178
1118,0.379226,2.514663,-0.730989,1.738807,1.471235,0.150597,1.336641,0.651743
1119,0.584653,1.865605,-1.232781,-0.637821,1.092600,2.443713,0.188574,-0.080788
1120,0.272161,1.632117,1.653028,-0.753647,0.597499,1.252396,2.355006,-0.041179
1124,0.100448,-0.399260,1.983109,-3.549741,0.521592,1.724526,0.367419,-0.030768
1125,-2.630057,1.635399,1.909437,-2.397602,0.255011,-0.316716,0.306417,-0.919157
1126,1.390290,-0.383836,-2.640316,0.680349,0.304078,0.765994,-4.391727,-1.475354
1127,-1.776270,-0.925468,0.426419,-0.498165,1.191810,-0.444084,-1.849329,-0.655907
1128,-0.006534,0.483830,-1.140947,2.363353,0.587928,-0.686061,-0.983700,0.341867
1132,-0.696686,1.067053,-0.461213,-1.026969,-0.448194,0.413944,-0.307035,-0.967674
1133,0.102294,1.550385,0.265508,-2.802524,-2.576703,-2.009408,0.175291,-1.512654
1134,0.463106,-1.482086,1.093667,0.745181,-2.581687,0.950815,1.409481,0.044169
1135,-0.432823,2.415887,0.471882,-0.591068,0.703288,-0.374177,0.370143,0.076403
1136,-0.880983,-0.340791,-0.703551,-0.643308,0.750948,-1.697890,-2.505430,0.274062
1137,-2.312325,-2.298390,-2.319763,-2.260976,-1.245147,-0.696942,-1.071521,-2.819111
1138,1.130347,1.105025,0.020753,-1.370867,1.416375,-0.522496,-3.048575,2.165382
1139,-0.629732,0.448143,3.931718,-0.501197,0.410942,1.819393,-0.581435,-0.539563
1142,-0.366877,3.172060,1.934499,-0.700620,3.355520,1.453046,1.826090,-1.242081
1143,1.494363,-0.634787,-1.072420,-1.110198,1.157423,-2.364031,-1.343822,-0.849757
1145,-0.228071,1.386492,-0.400593,0.007131,-0.715631,0.205078,-1.136493,-0.479367
1146,1.451726,-0.593163,-1.346345,3.604331,1.908790,-0.678003,-1.998359,2.666157
1147,1.862453,-0.010730,1.376509,-0.895304,1.246646,-0.373475,1.379750,-0.679928
1148,2.045036,-0.080837,3.501820,0.123239,0.101052,2.464234,-1.154812,1.215887
1150,-2.047427,-1.897691,-1.041125,0.578488,1.982048,-2.330542,0.572442,0.362420
1151,1.413442,2.946896,-2.244074,0.634821,0.998931,-1.295747,-2.050527,3.615638
1152,-0.831705,-0.735388,-0.195859,0.752339,-0.470526,0.576836,-0.689636,-2.541513
1153,0.421157,-0.104254,-0.131697,-0.796090,0.392746,-0.892609,0.336803,-1.854583
1154,-0.761253,-0.488965,-2.540498,1.312502,1.779651,0.722952,0.642473,-1.807671
1157,-1.001591,1.387727,1.959074,1.061856,-0.084583,2.113926,-0.187787,0.115757
1158,0.451800,-0.459429,0.623376,0.357070,0.103909,0.950308,1.287340,1.047054
1159,-1.442818,-0.466355,-1.776976,-1.852919,-1.084444,0.442057,-0.577426,-1.663628
1160,-0.088079,3.711377,0.457060,-1.031458,3.345951,3.303747,0.001128,-0.183080
1161,-0.525334,0.772140,1.429146,-0.266966,0.463769,-1.917376,0.595340,2.485406
1162,1.196209,-0.122330,-0.661900,-0.561017,-0.239850,-1.654427,-2.306272,-0.364311
1163,-0.583124,-1.033354,1.451569,-0.901818,0.268432,-2.157989,-3.133722,-0.174012
1166,-1.102776,-0.949129,-1.332504,-1.705901,0.312242,-1.986559,-0.336797,-0.350735
1167,0.166086,0.410449,1.181866,2.571671,0.646192,0.922270,2.368177,2.254371
1168,-1.809100,0.427195,0.457466,1.428180,2.005497,-2.291956,0.872451,1.565796
1171,0.388649,1.527783,-1.222598,1.820355,1.467885,-1.235105,-0.085285,0.547710
