Subject,CSminus_1_zstat1,CSminus_2_zstat2,CSminus_3_zstat3,CSminus_4_zstat4,CSplusNR_1_zstat5,CSplusNR_2_zstat6,CSplusNR_3_zstat7,CSplusNR_4_zstat8
1001,-0.438573,0.722503,-0.399457,-0.483692,1.190789,1.497530,0.462254,-0.825844
1002,-2.452637,-0.813476,-4.334539,-1.367949,-1.535911,-1.033719,-1.304452,-1.250904
1003,-1.439848,-0.166792,-1.227102,1.653517,1.547516,-1.180657,0.534793,0.287067
1004,0.381364,-0.460895,1.449385,0.001990,0.833214,-0.485423,1.759078,0.048445
1005,0.445654,1.221872,0.785420,-0.561942,1.194025,1.025518,2.105257,1.711476
1006,-0.773466,0.426604,2.569132,-0.807004,-0.888905,0.981655,-0.492824,-3.059743
1007,-0.937555,0.384610,-1.220014,0.022070,-0.140504,-0.450363,1.087843,0.130404
1008,-1.898042,-0.886228,-0.285311,-1.691528,0.429577,-1.019885,-0.270809,-0.478356
1009,-0.062087,0.367444,-0.552872,-1.278775,-0.048860,1.616846,0.056101,-2.048877
1011,-0.537704,-2.169472,-2.304756,-0.461890,-0.124693,0.474467,-0.157045,0.590995
1012,-0.920467,-1.057266,-1.113045,-1.403392,-1.160062,0.130957,-1.104171,-2.340859
1014,-2.280649,0.138488,0.090173,1.448074,-1.029028,-0.407177,0.653640,1.095667
1015,-1.616643,0.323446,-3.230007,0.394986,-1.521143,0.486910,-1.342655,-1.885836
1019,0.941468,-1.361004,1.183005,-1.846515,-0.456235,-0.053328,-1.564202,1.716300
1022,0.687932,1.201721,0.730056,-0.888930,3.157572,1.374343,0.167102,1.587484
1023,-0.236124,0.080996,-0.161153,-0.960925,-0.011455,0.476492,-2.162641,-1.911157
1029,-0.307611,0.350419,-0.734006,1.061536,0.322267,0.571766,-0.205633,0.163844
1031,-0.726986,0.439596,-0.919004,1.496609,0.039425,-1.315563,-1.266384,-0.798762
1032,-1.967844,-0.699305,0.673712,-0.560660,1.226256,0.577118,-0.135218,-1.016380
1034,-2.572346,-0.310849,-1.778562,-1.183412,-0.302484,-1.581742,-0.063514,-1.035910
1036,-0.476432,0.107119,0.697408,0.464279,0.574027,0.270605,-0.962610,-1.225263
1037,0.459513,-0.266540,2.200302,1.840846,0.969043,-0.962516,0.286564,0.528176
1038,0.417375,1.100182,1.016298,1.614833,0.995757,-0.294930,1.987780,1.179418
1040,0.500904,1.888728,1.063521,-0.277114,1.428594,2.983175,1.268156,0.117497
1041,1.065950,1.156205,0.270027,-0.456575,1.885543,-0.915765,-1.648201,-0.854369
1042,0.052598,1.980446,-2.252603,-1.727775,0.804722,-0.507616,-1.254010,-2.787543
1043,-0.176207,1.483816,0.574981,0.349711,1.447540,1.190359,0.700330,0.822524
1044,-0.202993,-0.998768,0.562288,1.438883,-0.243295,-0.011239,2.148070,-0.654160
1045,0.130363,-0.654965,-1.734265,-2.577833,-2.421664,2.483761,-0.913807,-0.848426
1047,0.697801,-0.799432,3.027734,2.086886,2.176360,-1.057725,-1.122856,1.196803
1048,0.648224,-0.038670,-0.069139,-0.427879,-0.764852,-0.655724,-1.094580,-0.397681
1049,-1.667671,-0.155752,0.634563,0.193453,0.602100,1.425332,-0.408962,-1.195899
1050,-1.169726,-0.609537,1.098879,-0.712781,-0.890250,-1.060835,0.430804,-0.875445
1051,-0.516025,0.143033,-0.957361,-2.378603,-0.626010,0.175550,1.998714,-1.511286
1053,-0.863105,-0.626071,1.639027,0.549261,-1.095519,0.431471,-0.572240,0.275348
1056,-0.149081,0.681654,-1.046560,0.256518,-0.755777,1.193265,0.471554,-0.480246
1060,2.254268,-1.202355,-1.268244,0.423016,0.062353,-1.679384,-0.089861,-0.392801
1061,-0.611364,0.531198,1.788376,-1.138991,0.140071,0.543662,-0.084748,-1.100877
1063,-2.112418,-4.354982,2.344626,0.129319,2.557479,-2.299004,-1.366684,0.390094
1071,0.081081,-0.606061,0.113508,0.256922,1.430307,-0.320440,0.666408,1.149208
1072,-1.653338,-1.291152,-0.145877,0.512832,-0.147809,-2.258362,-1.726001,-1.862589
1077,-0.674317,0.151778,0.517692,0.423272,0.269909,-0.645273,0.151041,1.382351
1078,-0.630687,-0.732728,0.712458,-1.759798,0.320954,-1.437833,0.893927,-0.085334
1080,-0.761721,-0.713766,1.273747,0.722889,-2.348782,-0.069497,-0.876951,-0.393959
1081,0.042553,0.049467,-0.009055,-0.978974,0.348819,-0.347102,1.481031,0.169635
1089,0.454313,0.581662,0.787293,1.246839,-0.152913,1.361442,0.784208,-0.038290
1090,-1.350563,0.553012,-1.770740,0.121486,-1.348410,1.632020,1.062786,-0.759598
1091,-1.327435,3.145727,0.148423,0.293958,0.571048,0.015820,-0.298838,-0.565039
